post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
145297108.founder-call-friday-7-june-2024-0830,2024-06-04T14:57:41.314Z,true,2024-06-04T14:57:42.248Z,2024-06-04T14:57:42.248Z,newsletter,founding,"Founder Call Friday, 7 June 2024, 0830 PDT",,
145179084.thinkie-sensitivity-analysis,2024-06-04T13:55:08.331Z,true,2024-06-04T13:55:09.165Z,2024-06-04T13:55:09.165Z,newsletter,only_paid,Thinkie: Sensitivity Analysis,Figuring out what matters,
145170625.interceptors-in-junit,2024-06-06T13:12:59.736Z,true,2024-06-06T13:13:00.441Z,2024-06-06T13:13:00.441Z,newsletter,everyone,Interceptors in JUnit,,
145167436.best-standalone-tidy-first-chapter,2024-05-31T14:23:43.771Z,true,2024-05-31T14:23:44.680Z,2024-05-31T14:23:44.680Z,thread,only_paid,Best Standalone Tidy First? Chapter?,,
145129117.coupling-and-cohesion,2024-05-31T12:59:53.768Z,true,2024-05-31T12:59:54.328Z,2024-05-31T12:59:54.328Z,newsletter,everyone,Coupling and Cohesion,,
145082461.financial-details,,false,,,newsletter,only_paid,,,
145069332.thinkie-extrapolate-further,2024-05-28T18:10:46.811Z,true,2024-05-28T18:10:47.663Z,2024-05-28T18:10:47.663Z,newsletter,only_paid,Thinkie: Extrapolate Further,,
144932777.not-about-the-money,2024-05-29T13:41:26.928Z,true,2024-05-29T13:41:27.456Z,2024-05-29T13:41:27.456Z,newsletter,only_paid,Why I Wasn’t Writing Tidy Together,😮‍💨 Money,
144928945.tt-chapter-one-principle-one-technique,2024-05-24T12:32:56.511Z,true,2024-05-24T12:32:57.309Z,2024-05-24T12:32:57.309Z,newsletter,only_paid,"TT? Chapter: One Principle, One Technique",,
144878532.tidy-together-outline,2024-05-22T16:14:15.165Z,true,2024-05-22T16:14:15.847Z,2024-05-22T16:14:15.847Z,newsletter,everyone,Tidy Together? Outline,,
144840395.thinkie-else,2024-05-21T14:10:20.156Z,true,2024-05-21T14:10:20.985Z,2024-05-21T14:10:20.985Z,newsletter,only_paid,Thinkie: Else?,,
144725549.responsible-belief,,false,,,newsletter,only_paid,,,
144661033.why-accelerate-deployment,2024-05-17T13:34:37.514Z,true,2024-05-17T13:34:37.910Z,2024-05-17T13:34:37.910Z,newsletter,everyone,Why Accelerate Deployment?,,
144660171.surprise-factory-cohesion-couplings,2024-05-16T13:07:28.663Z,true,2024-05-16T13:07:29.521Z,2024-05-16T13:07:29.521Z,newsletter,only_paid,Surprise Factory: Cohesion: Coupling’s B Side,,
144603249.thinkie-contradiction,2024-05-14T12:50:01.756Z,true,2024-05-14T12:50:02.169Z,2024-05-14T12:50:02.169Z,newsletter,only_paid,Thinkie: Contradiction,,
144488703.sales-happen-when-buyers-fear-missing,2024-05-10T15:29:57.181Z,true,2024-05-10T15:29:57.739Z,2024-05-10T15:29:57.739Z,newsletter,everyone,Sales Happen When Buyers Fear Missing Out,ROI (and I) are naïve,
144420209.revised-surprise-factory-chapter,2024-05-09T12:50:19.556Z,true,2024-05-09T12:50:20.011Z,2024-05-09T12:50:20.011Z,newsletter,only_paid,(Revised Surprise Factory Chapter) Coupling: Why Software Costs So Damn Much,,
144388785.incongruence,2024-05-07T13:15:49.745Z,true,2024-05-07T13:15:50.467Z,2024-05-07T13:15:50.467Z,newsletter,only_paid,Incongruence,,
